epoch	vram
1783947930	57327017984
1783947935	57370234880
1783947940	57369018368
1783947945	57355583488
1783947950	57355583488
1783947955	57244950528
1783947960	57244950528
1783947965	57244950528
1783947970	57244962816
1783947975	57244962816
1783947980	57244962816
1783947985	57244962816
1783947990	57249210368
1783947995	57249210368
1783948000	57249210368
1783948005	57237118976
1783948010	57237172224
1783948015	57237172224
1783948020	57238986752
1783948025	57238999040
1783948030	57234788352
1783948035	57234788352
1783948040	57234800640
1783948045	57234841600
1783948050	57234841600
1783948055	57234841600
1783948060	57234853888
1783948065	57234853888
1783948070	57234853888
1783948075	57234853888
1783948080	57234853888
1783948085	57234853888
1783948090	57501052928
1783948095	57501052928
1783948100	57501061120
1783948105	57433886720
1783948110	57429676032
1783948115	57429688320
1783948120	57429688320
1783948126	57429688320
1783948131	57429700608
1783948136	57429700608
1783948141	57429700608
1783948146	57429712896
1783948151	57429872640
1783948156	57429872640
1783948161	57429872640
1783948166	57429884928
1783948171	57429884928
1783948176	57429884928
1783948181	57429897216
1783948186	57429897216
1783948191	57429897216
1783948196	57429909504
1783948201	57429909504
1783948206	57429909504
1783948211	57429909504
1783948216	57429909504
1783948221	57429909504
1783948226	57429925888
1783948231	57429925888
1783948236	57429925888
1783948241	57429938176
1783948246	57660071936
1783948251	57655123968
1783948256	57655136256
1783948261	57655136256
1783948266	57655136256
1783948271	57655136256
1783948276	57655136256
1783948281	57655148544
1783948286	57655148544
1783948291	57655148544
1783948296	57655148544
1783948301	57655160832
1783948306	57655160832
1783948311	57655160832
1783948316	57655160832
1783948321	57655160832
1783948326	57655160832
1783948331	57655160832
1783948336	57655160832
1783948341	57655160832
1783948346	57655218176
1783948351	57655218176
1783948356	57655218176
1783948361	57655218176
1783948366	57655218176
1783948371	57655218176
1783948376	57655218176
1783948381	57655218176
1783948386	57655218176
1783948391	57655230464
1783948396	57655230464
1783948401	57655230464
1783948406	57655230464
1783948411	57655230464
1783948416	57655230464
1783948421	57655230464
1783948426	57655230464
1783948431	57655230464
1783948436	57655242752
1783948441	57655242752
1783948446	57655242752
1783948451	57655283712
1783948456	57655283712
1783948461	57655283712
1783948466	57655283712
1783948471	57655283712
1783948476	57655283712
1783948481	57655296000
1783948486	57655296000
1783948491	57655296000
1783948496	57655308288
1783948501	57655308288
1783948506	57655308288
1783948511	57655308288
1783948516	57655320576
1783948521	57655320576
1783948526	57655320576
1783948531	57655320576
1783948536	57655320576
1783948541	57655320576
1783948546	57655320576
1783948551	57655320576
1783948556	57655332864
1783948561	57655332864
1783948566	57655332864
1783948571	57655332864
1783948576	57655746560
1783948581	57655746560
1783948586	57655746560
1783948591	57655746560
1783948596	57655758848
1783948601	57655758848
1783948606	57655758848
1783948611	57655758848
1783948616	57655758848
1783948621	57655758848
1783948626	57655771136
1783948631	57655771136
1783948636	57655771136
1783948641	57655771136
1783948646	57655771136
1783948651	57655771136
1783948656	57655771136
1783948661	57655771136
1783948666	57655783424
1783948671	57655783424
1783948676	57655783424
1783948681	57655783424
1783948686	57655783424
1783948691	57655783424
1783948696	57655783424
1783948701	57655795712
1783948706	57655795712
1783948711	57655795712
1783948716	57655795712
1783948721	57655795712
1783948726	57655795712
1783948731	57655795712
1783948736	57655808000
1783948741	57655808000
1783948746	57655808000
1783948751	57655808000
1783948756	57655808000
1783948761	57655808000
1783948766	57655808000
1783948771	57655820288
1783948776	57655820288
1783948781	57655820288
1783948786	57655820288
1783948791	57655820288
1783948796	57655820288
1783948801	57655820288
1783948806	57655832576
1783948811	57655832576
1783948816	57655832576
1783948821	57655832576
1783948826	57655844864
1783948831	57655844864
