epoch	vram_used_bytes
1783965191	25764790272
1783965201	34646990848
1783965211	34647330816
1783965221	34647351296
1783965231	34647355392
1783965241	34647355392
1783965251	34647355392
1783965261	34647969792
1783965271	34647969792
1783965281	34647969792
1783965291	34647969792
1783965301	34647969792
1783965311	34647969792
1783965321	34647969792
1783965331	34647969792
1783965341	34647969792
1783965351	34647969792
1783965361	34647969792
1783965371	34647969792
1783965381	34647969792
1783965391	34647969792
1783965401	34648100864
1783965411	34648100864
1783965421	34648100864
1783965431	34648227840
1783965441	34648227840
1783965451	34648227840
1783965461	34648633344
1783965471	34648633344
1783965481	34648633344
1783965491	34648633344
1783965501	34648633344
1783965511	34648633344
1783965521	34648633344
1783965531	34648633344
1783965541	34648633344
1783965551	34648633344
1783965561	34648633344
1783965571	34648633344
1783965581	34648633344
1783965591	34648633344
1783965601	34648633344
1783965611	34648633344
1783965621	34648633344
1783965631	34648633344
1783965641	34648633344
1783965651	34648633344
1783965661	34648633344
1783965671	34648633344
1783965681	34648633344
1783965691	34648633344
1783965701	34648633344
1783965711	34648633344
1783965721	34648633344
1783965731	34648633344
1783965741	34648633344
1783965751	34648633344
1783965761	34648633344
1783965771	34648633344
1783965781	34648633344
1783965791	34648633344
1783965801	34648633344
1783965811	34648633344
1783965821	34648633344
1783965831	34648633344
1783965841	34648633344
1783965851	34648633344
1783965861	34648633344
1783965871	34648633344
1783965881	34648633344
1783965891	34648633344
1783965901	34648633344
1783965911	34648633344
1783965921	34648633344
1783965931	34648633344
1783965941	34648633344
1783965951	34648633344
1783965961	34648633344
1783965971	34648633344
1783965981	34648633344
1783965991	34648633344
1783966001	34648633344
1783966011	34648633344
1783966021	34648633344
1783966031	34648633344
1783966041	34648633344
1783966051	34648633344
1783966061	34648633344
1783966071	34648633344
1783966081	34648633344
1783966091	34648633344
1783966101	34648633344
