epoch	vram_used_bytes
1783961339	25925836800
1783961349	48242245632
1783961359	48242831360
1783961369	48242892800
1783961379	48242892800
1783961389	48242892800
1783961399	48242892800
1783961409	48242892800
1783961419	48243945472
1783961429	48243945472
1783961439	48244445184
1783961449	48244445184
1783961459	48244445184
1783961469	48244445184
1783961479	48244445184
1783961489	48244445184
1783961499	48244445184
1783961509	48244445184
1783961519	48244445184
1783961530	48244445184
1783961540	48244445184
1783961550	48244445184
1783961560	48244445184
1783961570	48244445184
1783961580	48244445184
1783961590	48244445184
1783961600	48244445184
1783961610	48244445184
1783961620	48244445184
1783961630	48244445184
1783961640	48244445184
1783961650	48244445184
1783961660	48244445184
1783961670	48244445184
1783961680	48244445184
1783961690	48244445184
1783961700	48244445184
1783961710	48244445184
1783961720	48244445184
1783961730	48244445184
1783961740	48244445184
1783961750	48244449280
1783961760	48244449280
1783961770	48244449280
1783961780	48244449280
1783961790	48244449280
1783961800	48244449280
1783961810	48244449280
1783961820	48244449280
1783961830	48244449280
1783961840	48244449280
1783961850	48244449280
1783961860	48244449280
1783961870	48244449280
1783961880	48244449280
1783961890	48244449280
1783961900	48244449280
1783961910	48244449280
1783961920	48244449280
1783961930	48244449280
1783961940	48244449280
1783961950	48244449280
1783961960	48244449280
1783961970	48244449280
1783961980	48244449280
1783961990	48244449280
1783962000	48244449280
1783962010	48244449280
1783962020	48244449280
1783962030	48244449280
1783962040	48244449280
1783962050	48244449280
1783962060	48244449280
1783962070	48244449280
1783962080	48244449280
1783962090	48244449280
1783962100	48244449280
1783962110	48244449280
1783962120	48244449280
1783962130	48244449280
1783962140	48244449280
1783962150	48244449280
1783962160	48244449280
1783962170	48244449280
1783962180	48244449280
1783962190	48244449280
1783962200	48244449280
1783962210	48244449280
1783962220	48244449280
1783962230	48244449280
1783962240	48244449280
1783962250	48244449280
1783962260	48244449280
1783962270	48244449280
1783962280	48244449280
1783962290	48244449280
1783962300	48244449280
1783962310	48244449280
1783962320	48244449280
