epoch	vram_used_bytes
1783342878	24223207424
1783342888	37567070208
1783342898	37569650688
1783342908	37569650688
1783342918	37569650688
1783342928	37569650688
1783342938	37569744896
1783342948	37569744896
1783342958	37569744896
1783342968	37569744896
1783342978	37569744896
1783342988	37569744896
1783342998	37569744896
1783343008	37569744896
1783343018	37569744896
1783343028	37569744896
1783343038	37569744896
1783343048	37569744896
1783343058	37569744896
1783343068	37569744896
1783343078	37569744896
1783343088	37569744896
1783343098	37569744896
1783343108	37569744896
1783343118	37569744896
1783343128	37569744896
1783343138	37569744896
1783343148	37569744896
1783343158	37569744896
1783343168	37569748992
1783343178	37569748992
1783343188	37569748992
1783343198	37569748992
1783343208	37569748992
1783343218	37569748992
1783343228	37569748992
1783343238	37569748992
1783343248	37569748992
1783343258	37569748992
1783343268	37569748992
1783343278	37569748992
1783343288	37569748992
1783343298	37569748992
1783343308	37569851392
1783343318	37569851392
1783343328	37569851392
1783343338	37569851392
1783343348	37569851392
1783343358	37569851392
1783343368	37569851392
1783343378	37569851392
1783343389	37569851392
1783343399	37569851392
1783343409	37569851392
1783343419	37569851392
1783343429	37569851392
1783343439	37569851392
1783343449	37569851392
1783343459	37569851392
1783343469	37569851392
1783343479	37569851392
1783343489	37569851392
1783343499	37569851392
1783343509	37569851392
1783343519	37569851392
1783343529	37569851392
1783343539	37569851392
1783343549	37569851392
1783343559	37569941504
1783343569	37569941504
1783343579	37569941504
1783343589	37569941504
1783343599	37569941504
1783343609	37569941504
1783343619	37569941504
1783343629	37569941504
1783343639	37569941504
1783343649	37569941504
1783343659	37569941504
1783343669	37569941504
1783343679	37569941504
1783343689	37569941504
1783343699	37569941504
1783343709	37569941504
1783343719	37569941504
1783343729	37569941504
1783343739	37569941504
1783343749	37569941504
1783343759	37569941504
1783343769	37569941504
1783343779	37569941504
1783343789	37569941504
