epoch	vram
1783951231	56524759040
1783951236	56524800000
1783951241	56524800000
1783951246	56524931072
1783951251	56524931072
1783951256	56527044608
1783951261	56527044608
1783951266	56529174528
1783951271	56531292160
1783951276	56531292160
1783951281	56531349504
1783951286	56531349504
1783951291	56531361792
1783951296	56531361792
1783951301	56531415040
1783951306	56531415040
1783951311	56531427328
1783951316	56531427328
1783951321	56531427328
1783951326	56531427328
1783951331	56531427328
1783951336	56531427328
1783951341	56531427328
1783951346	56531439616
1783951351	56531439616
1783951356	56531451904
1783951361	56531451904
1783951366	56531464192
1783951371	56531464192
1783951376	56531476480
1783951381	56531476480
1783951386	56531488768
1783951391	56531488768
1783951396	56531501056
1783951401	56531501056
1783951406	56531513344
1783951411	56531513344
1783951416	56531513344
1783951421	56531513344
1783951426	56531513344
1783951431	56531525632
1783951436	56531525632
1783951441	56531537920
1783951446	56531537920
1783951451	56531550208
1783951456	56531550208
1783951461	56531550208
1783951466	56531550208
1783951471	56531562496
1783951476	56531562496
1783951481	56531574784
1783951486	56531574784
1783951491	56531574784
1783951496	56531574784
1783951501	56644837376
1783951506	56724918272
1783951511	56724918272
1783951516	56724930560
1783951521	56724930560
1783951526	56859201536
1783951531	56859201536
1783951536	56859201536
1783951541	56859213824
1783951546	56859213824
1783951551	56859226112
1783951556	56859226112
1783951561	56859238400
1783951566	56859238400
1783951571	56859250688
1783951576	56859250688
1783951581	56859250688
1783951586	56859262976
1783951591	56859262976
1783951596	56859275264
1783951601	56859275264
1783951606	56859291648
1783951611	56859291648
1783951616	56859303936
1783951621	56859303936
1783951626	56859303936
1783951631	56859316224
1783951636	56859316224
1783951641	56859328512
1783951646	56859328512
1783951651	56859328512
1783951656	56859328512
1783951661	56859340800
1783951666	56859340800
1783951671	56859353088
1783951676	56859353088
1783951681	56859844608
1783951686	56860336128
1783951691	56860336128
1783951696	56860336128
1783951701	56860348416
1783951706	56860348416
1783951711	56860348416
1783951716	56860360704
1783951721	56860360704
1783951726	56860360704
1783951731	56860360704
1783951736	56860360704
1783951741	56860360704
1783951746	56860360704
1783951751	56860360704
1783951756	56860360704
1783951761	56860360704
1783951766	56860360704
1783951771	56860372992
1783951776	56860372992
1783951781	56860372992
1783951786	56860430336
1783951791	56860430336
1783951796	56860430336
1783951801	56860442624
1783951806	56860442624
1783951811	56860442624
1783951816	56860454912
1783951821	56860454912
1783951826	56860454912
1783951831	56860454912
1783951836	56860454912
1783951841	56860467200
1783951846	56860467200
1783951851	56860479488
1783951856	56860479488
1783951861	56860479488
1783951866	56860479488
1783951871	56860479488
1783951876	56860491776
1783951881	56860491776
1783951886	56860491776
1783951891	56860491776
1783951896	56860491776
1783951901	56860491776
1783951906	56860504064
1783951911	56860504064
1783951916	56860614656
1783951921	56860614656
1783951926	56860614656
1783951931	56860614656
1783951936	56860614656
1783951941	56860614656
1783951946	56860614656
1783951951	56860626944
1783951956	56860626944
1783951961	56860626944
1783951966	56860626944
1783951971	56860626944
1783951976	56860626944
1783951981	56860626944
1783951986	56860626944
1783951991	56860626944
1783951996	56860626944
1783952001	56860639232
1783952006	56860639232
1783952011	56860639232
1783952016	56860639232
1783952021	56860639232
1783952026	56860639232
1783952031	56860639232
1783952036	56860639232
1783952041	56860639232
1783952046	56860639232
1783952051	56860651520
1783952056	56860651520
1783952061	56860651520
1783952067	56860663808
1783952072	56860663808
1783952077	56860663808
1783952082	56860676096
1783952087	56860676096
1783952092	56860688384
1783952097	56860688384
1783952102	56860688384
1783952107	56860688384
1783952112	56860688384
1783952117	56860700672
1783952122	56860700672
1783952127	56860700672
1783952132	56860700672
