epoch	vram_used_bytes
1783971775	26998738944
1783971785	50683396096
1783971795	50684448768
1783971805	50684448768
1783971815	50684461056
1783971825	50684465152
1783971835	50684465152
1783971845	50684465152
1783971855	50684465152
1783971865	50684465152
1783971875	50684465152
1783971885	50684465152
1783971895	50684465152
1783971905	50684465152
1783971915	50684465152
1783971925	50684465152
1783971935	50684485632
1783971945	50684485632
1783971955	50684485632
1783971965	50684485632
1783971975	50684485632
1783971985	50684485632
1783971995	50684485632
1783972005	50684542976
1783972015	50684542976
1783972025	50684542976
1783972035	50684542976
1783972045	50684542976
1783972055	50684542976
1783972065	50684542976
1783972075	50684542976
1783972085	50684542976
1783972095	50684542976
1783972105	50684542976
1783972115	50684542976
1783972125	50684542976
1783972135	50684542976
1783972145	50684542976
1783972155	50684542976
1783972165	50684542976
1783972175	50684633088
1783972185	50684633088
1783972195	50684633088
1783972205	50684637184
1783972215	50684637184
1783972225	50684637184
1783972235	50684637184
1783972245	50684637184
1783972255	50684637184
1783972265	50684637184
1783972275	50684674048
1783972285	50684674048
1783972295	50684674048
1783972305	50684674048
1783972315	50684674048
1783972325	50684674048
1783972335	50684674048
1783972345	50684674048
1783972355	50684674048
1783972365	50684674048
1783972375	50684674048
1783972385	50684674048
1783972395	50684674048
1783972405	50684674048
1783972415	50684674048
1783972425	50684674048
1783972435	50684674048
1783972445	50684674048
1783972455	50684674048
1783972465	50684674048
1783972475	50684674048
1783972485	50684674048
1783972495	50684674048
1783972505	50684674048
1783972515	50684674048
1783972525	50684674048
1783972535	50684674048
1783972545	50684674048
1783972555	50684674048
1783972565	50684674048
1783972575	50684674048
1783972585	50684674048
1783972595	50684674048
1783972605	50684674048
1783972615	50684674048
1783972625	50684674048
1783972635	50684674048
1783972645	50684674048
1783972655	50684674048
1783972665	50684674048
1783972675	50684674048
1783972685	50684674048
